Demo-ResponseID,QType,Condition,Dataset,Attempt,DatasetOrder,TaskOrder,Click_X,Click_Y,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct,Distance,RawDifference,AbsDifference,Percentage,LogError
R_0dEqWPdQqQL91nj,Exp,Phr,5,1,3,4,426,355,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,TRUE,0.8498365855987826,0,0,0,0
R_0dEqWPdQqQL91nj,Exp,Phr,7,1,1,2,147,153,84,Ctrl_7_71_73.6,71,73.6,147.91666666666666,153.33333333333334,84,ClickHighDeg,1,TRUE,0.9753916592266297,0,0,0,0
R_0dEqWPdQqQL91nj,Training,Phr,0,1,0,2,394,473,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,2.011253064357839,-2,2,0.3333333333333333,0.47712125471966244
R_0dh1Bi8ISCEA0tH,Exp,Siz,1,1,3,5,437,577,29,Ctrl_1_209_276.4,209,276.4,435.4166666666667,575.8333333333334,26,ClickHighDeg,2,FALSE,1.96673728686762,-3,3,0.10344827586206896,0.6020599913279624
R_0dh1Bi8ISCEA0tH,Exp,Siz,3,1,2,6,82,251,10,Ctrl_3_38.8_120.7,38.8,120.7,80.83333333333333,251.45833333333334,4,ClickHighDeg,7,FALSE,1.2534674130409516,-6,6,0.6,0.8450980400142568
R_0dh1Bi8ISCEA0tH,Exp,Siz,8,1,1,6,338,350,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,2.7541004782767846,0,0,0,0
R_0dh1Bi8ISCEA0tH,Training,Siz,0,1,0,2,392,473,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,2.4923494047896937,-2,2,0.3333333333333333,0.47712125471966244
R_0eSHVr3x4EFqL1n,Exp,Col,3,1,1,8,339,288,10,Ctrl_3_163_138.2,163,138.2,339.5833333333333,287.9166666666667,10,ClickHighDeg,1,TRUE,0.5892556509887682,0,0,0,0
R_0eSHVr3x4EFqL1n,Exp,Col,8,1,2,2,339,349,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,1.6335246486593902,0,0,0,0
R_0eSHVr3x4EFqL1n,Exp,Col,9,1,3,1,464,294,34,Ctrl_9_223.1_141.1,223.1,141.1,464.7916666666667,293.9583333333333,27,ClickHighDeg,2,FALSE,0.7927623996017052,-7,7,0.20588235294117646,0.9030899869919435
R_0eSHVr3x4EFqL1n,Training,Col,0,1,0,2,392,469,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,2.558346905501485,-2,2,0.3333333333333333,0.47712125471966244
R_0lJc4jTugbd3Fm1,Exp,Ord,1,1,1,1,416,367,29,Ord_1_199.3_176.2,199.3,176.2,415.2083333333333,367.0833333333333,29,ClickHighDeg,1,TRUE,0.7960405489393002,0,0,0,0
R_0lJc4jTugbd3Fm1,Training,Ord,0,1,0,2,423,258,6,Ord_0_202.8_123.3,202.8,123.3,422.5,256.875,6,ClickHighDeg,1,TRUE,1.231107225224513,0,0,0,0
R_0O3MxR4nLN8iOXL,Exp,Phr,5,1,3,9,423,357,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,TRUE,4.0069384267237425,0,0,0,0
R_0O3MxR4nLN8iOXL,Exp,Phr,8,1,1,3,340,348,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,1.323531681189066,0,0,0,0
R_0O3MxR4nLN8iOXL,Exp,Phr,9,1,2,2,429,249,34,Ctrl_9_208.7_120.3,208.7,120.3,434.7916666666667,250.625,34,ClickHighDeg,1,TRUE,6.015316099572656,0,0,0,0
R_0O3MxR4nLN8iOXL,Training,Phr,0,1,0,2,394,471,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,0.4602233757161187,-2,2,0.3333333333333333,0.47712125471966244
R_0ogJywd6rCCILiV,Exp,Col,1,1,2,2,432,576,29,Ctrl_1_209_276.4,209,276.4,435.4166666666667,575.8333333333334,26,ClickHighDeg,2,FALSE,3.4207292919623153,-3,3,0.10344827586206896,0.6020599913279624
R_0ogJywd6rCCILiV,Exp,Col,7,1,3,6,229,171,84,Ctrl_7_110.6_81.1,110.6,81.1,230.41666666666666,168.95833333333334,31,ClickHighDeg,3,FALSE,2.485024591874728,-53,53,0.6309523809523809,1.7323937598229686
R_0ogJywd6rCCILiV,Exp,Col,9,1,1,9,530,440,34,Ctrl_9_254.1_211,254.1,211,529.375,439.5833333333333,27,ClickHighDeg,2,FALSE,0.751156515721675,-7,7,0.20588235294117646,0.9030899869919435
R_0ogJywd6rCCILiV,Training,Col,0,1,0,2,476,358,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,4.274642610142313,0,0,0,0
R_0PS7PI0ulnY7n8t,Training,Fru,0,1,0,2,624,175,6,Fru_0_300_84.2,300,84.2,625,175.41666666666666,5,ClickHighDeg,2,FALSE,1.0833333333333297,-1,1,0.16666666666666666,0.3010299956639812
R_0TJeamRSAK4pZYt,Exp,Siz,1,1,2,5,396,545,29,Ctrl_1_189.8_262.4,189.8,262.4,395.4166666666667,546.6666666666666,25,ClickHighDeg,3,FALSE,1.7658016750347154,-4,4,0.13793103448275862,0.6989700043360189
R_0TJeamRSAK4pZYt,Exp,Siz,7,1,3,6,290,497,84,Ctrl_7_140.2_240.1,140.2,240.1,292.0833333333333,500.2083333333333,84,ClickHighDeg,1,TRUE,3.8253993981747,0,0,0,0
R_0TJeamRSAK4pZYt,Exp,Siz,9,1,1,8,451,263,34,Ctrl_9_208.7_120.3,208.7,120.3,434.7916666666667,250.625,34,ClickHighDeg,1,TRUE,20.39241757233418,0,0,0,0
R_0TJeamRSAK4pZYt,Training,Siz,0,1,0,2,480,359,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,0.3254270698294318,0,0,0,0
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,1,1,4,430,573,29,Ctrl_1_209_276.4,209,276.4,435.4166666666667,575.8333333333334,26,ClickHighDeg,2,FALSE,6.112941645031136,-3,3,0.10344827586206896,0.6020599913279624
R_0UIpYxjoSUtn5aV,Exp,Ctrl,7,1,3,9,144,152,84,Ctrl_7_71_73.6,71,73.6,147.91666666666666,153.33333333333334,84,ClickHighDeg,1,TRUE,4.137397195768798,0,0,0,0
R_0UIpYxjoSUtn5aV,Exp,Ctrl,9,1,2,2,435,252,34,Ctrl_9_208.7_120.3,208.7,120.3,434.7916666666667,250.625,34,ClickHighDeg,1,TRUE,1.3906932723565502,0,0,0,0
R_0UIpYxjoSUtn5aV,Training,Ctrl,0,1,0,2,479,359,6,Ctrl_0_230.5_172.2,230.5,172.2,480.2083333333333,358.75,6,ClickHighDeg,1,TRUE,1.2339244079133853,0,0,0,0
R_0vwhF9JNt26Lc77,Exp,Col,3,1,2,5,106,288,10,Ctrl_3_51.5_139.2,51.5,139.2,107.29166666666667,290,7,ClickHighDeg,4,FALSE,2.3808407711936113,-3,3,0.3,0.6020599913279624
R_0vwhF9JNt26Lc77,Exp,Col,5,1,3,3,446,350,51,Ctrl_5_204.4_170,204.4,170,425.8333333333333,354.1666666666667,51,ClickHighDeg,1,TRUE,20.59260924592987,0,0,0,0
R_0vwhF9JNt26Lc77,Exp,Col,8,1,1,4,339,335,49,Ctrl_8_163.5_167.6,163.5,167.6,340.625,349.1666666666667,49,ClickHighDeg,1,TRUE,14.259560632938344,0,0,0,0
R_0vwhF9JNt26Lc77,Training,Col,0,1,0,2,409,485,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,20.82774925163273,-2,2,0.3333333333333333,0.47712125471966244
R_0wZvi3WzUAJ3npL,Exp,Ord,1,1,2,1,414,366,29,Ord_1_199.3_176.2,199.3,176.2,415.2083333333333,367.0833333333333,29,ClickHighDeg,1,TRUE,1.622861841179177,0,0,0,0
R_0wZvi3WzUAJ3npL,Exp,Ord,3,1,3,4,383,390,10,Ord_3_184.1_187.1,184.1,187.1,383.5416666666667,389.7916666666667,10,ClickHighDeg,1,TRUE,0.5803495115493492,0,0,0,0
R_0wZvi3WzUAJ3npL,Exp,Ord,8,1,1,2,599,551,49,Ord_8_285.8_263.3,285.8,263.3,595.4166666666666,548.5416666666666,49,ClickHighDeg,1,TRUE,4.345535704094032,0,0,0,0
R_0wZvi3WzUAJ3npL,Training,Ord,0,1,0,2,427,256,6,Ord_0_202.8_123.3,202.8,123.3,422.5,256.875,6,ClickHighDeg,1,TRUE,4.584280205223062,0,0,0,0
R_10DgpPDJLI0lWe4,Exp,Col,3,1,1,2,505,452,10,Ctrl_3_242.4_216.9,242.4,216.9,505,451.875,8,ClickHighDeg,3,FALSE,0.125,-2,2,0.2,0.47712125471966244
R_10DgpPDJLI0lWe4,Exp,Col,5,1,2,8,472,332,51,Ctrl_5_226.6_160.4,226.6,160.4,472.0833333333333,334.1666666666667,28,ClickHighDeg,2,FALSE,2.168268638542966,-23,23,0.45098039215686275,1.380211241711606
R_10DgpPDJLI0lWe4,Exp,Col,7,1,3,1,289,499,84,Ctrl_7_140.2_240.1,140.2,240.1,292.0833333333333,500.2083333333333,84,ClickHighDeg,1,TRUE,3.311648213335578,0,0,0,0
R_10DgpPDJLI0lWe4,Training,Col,0,1,0,2,392,470,6,Ctrl_0_188.9_226.1,188.9,226.1,393.5416666666667,471.0416666666667,4,ClickHighDeg,3,FALSE,1.8605927968138685,-2,2,0.3333333333333333,0.47712125471966244
R_10DwCbnn3mhButQ,Exp,Col,1,1,3,8,396,558,29,Ctrl_1_189.8_262.4,189.8,262.4,395.4166666666667,546.6666666666666,25,ClickHighDeg,3,FALSE,11.34833565868683,-4,4,0.13793103448275862,0.6989700043360189
R_10DwCbnn3mhButQ,Exp,Col,3,1,2,8,591,206,10,Ctrl_3_284.7_98.3,284.7,98.3,593.125,204.79166666666666,8,ClickHighDeg,3,FALSE,2.4445233573121095,-2,2,0.2,0.47712125471966244
