Demo-ResponseID,QType,Condition,Dataset,Task,Coord,Response,DatasetOrder,TaskOrder
R_1GIwzHXFwM5GaAN,Exp,Ctrl,1,ClickHighDeg,Y1,369,3,8
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,ClickHighDeg,Y1,574,1,5
R_2anUpyXVLx94k1W,Exp,Ctrl,1,ClickHighDeg,Y1,496,3,7
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,ClickHighDeg,Y1,512,1,5
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,ClickHighDeg,Y1,368,1,6
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,ClickHighDeg,Y1,370,3,2
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,ClickHighDeg,Y1,367,3,1
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,ClickHighDeg,Y1,576,1,8
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,ClickHighDeg,Y1,573,1,6
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,BC,X1,383,2,6
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,BC,X1,323,2,5
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,BC,X1,382,3,3
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,BC,X1,387,3,6
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,BC,X1,381,2,9
R_245HR5qf4i26YuB,Exp,Ctrl,1,BC,X1,296,2,4
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,BC,X1,359,3,3
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,BC,X1,388,2,1
R_10IubgweXpWotmV,Exp,Ctrl,1,BC,X1,363,2,7
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,BC,X1,312,1,9
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,BC,X1,385,1,8
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,BC,X1,382,2,2
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,BC,X1,386,1,6
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,BC,X1,382,2,5
R_uet7UtnWMSL9e93,Exp,Ctrl,1,BC,X1,372,1,2
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,BC,X1,385,3,9
R_Cmol1id0CtT1nvH,Exp,Ctrl,1,BC,X1,388,1,3
R_PI124y0stIWTPEJ,Exp,Ctrl,1,BC,X1,383,1,3
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,BC,X1,385,2,3
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,BC,X1,382,3,9
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,BC,X1,359,1,8
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,BC,X1,384,2,7
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,BC,X1,381,2,6
R_b43e3ri4GTS9iOR,Exp,Ctrl,1,BC,X1,407,2,2
R_sNWCgNnh8BjhxlL,Exp,Ctrl,1,BC,X1,316,3,8
R_3RqKAcO9ROqWqN8,Exp,Ctrl,1,BC,X1,385,3,4
R_1IuAyejJJGlWyM2,Exp,Ctrl,1,BC,X1,436,2,1
R_QgOzhzGgb18gj9T,Exp,Ctrl,1,BC,X1,385,1,6
R_3qjNDydmEsYhWPf,Exp,Ctrl,1,BC,X1,360,1,8
R_aiaGnR9abM343Hb,Exp,Ctrl,1,BC,X1,405,1,6
R_1DzNm3T7cdPfJOF,Exp,Ctrl,1,BC,X1,383,1,3
R_2SicdlEiS4QFlxC,Exp,Ctrl,1,BC,X1,382,1,2
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,BC,X1,614,3,4
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,BC,X1,387,1,2
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,BC,X1,384,2,1
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,BC,X1,387,3,9
R_2fwjQEliDHspYNx,Exp,Ctrl,1,BC,X1,175,3,3
R_x4scLYm0fIiArnj,Exp,Ctrl,1,BC,X1,383,1,7
R_337NYq2bxJfecSN,Exp,Ctrl,1,BC,X1,438,3,8
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,BC,X1,386,3,7
R_2zNIzg2C6m2qsBI,Exp,Ctrl,1,BC,X1,383,3,5
R_RnmRhX6Xw5EGdcB,Exp,Ctrl,1,BC,X1,380,1,8
R_UfOSvzbMxnRgwDL,Exp,Ctrl,1,BC,X1,383,3,8
R_2qr7KgyabK6sQ8w,Exp,Ctrl,1,BC,X1,380,2,4
R_2b15UKnjwpnBStk,Exp,Ctrl,1,BC,X1,398,2,1
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,BC,X1,306,2,8
R_3P655E62t7ufi2T,Exp,Ctrl,1,BC,X1,493,2,2
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,BC,X1,361,1,4
R_2E66vKkii2jLqm7,Exp,Ctrl,1,BC,X1,388,2,4
R_1LtYLpObTUqguYp,Exp,Ctrl,1,BC,X1,380,2,6
R_3GpSsefaRA2fKPn,Exp,Ctrl,1,BC,X1,383,2,8
R_OvcnhhuTcC1NrUd,Exp,Ctrl,1,BC,X1,382,2,1
R_25ZAlyZ4JbMsmjY,Exp,Ctrl,1,BC,X1,382,2,6
R_3D8EknclrlmOC7O,Exp,Ctrl,1,BC,X1,292,1,1
R_3q9GgzKbk1Otp5O,Exp,Ctrl,1,BC,X1,388,1,6
R_qU6wX1va4fIlkbv,Exp,Ctrl,1,BC,X1,398,1,9
R_1HbfKcFKifrMMlc,Exp,Ctrl,1,BC,X1,385,3,2
R_b7rKdHburf18qWJ,Exp,Ctrl,1,BC,X1,385,1,8
R_1GIwzHXFwM5GaAN,Exp,Ctrl,1,BC,X1,383,3,6
R_3CTSa5wMpWHZtWE,Exp,Ctrl,1,BC,X1,382,1,8
R_2anUpyXVLx94k1W,Exp,Ctrl,1,BC,X1,394,3,5
R_2qa3hYvHBBxnKIN,Exp,Ctrl,1,BC,X1,358,1,1
R_SNTJVpXYyCDa1mp,Exp,Ctrl,1,BC,X1,385,1,4
R_1C6ZLfppnr2hHJ3,Exp,Ctrl,1,BC,X1,383,3,6
R_8d1VqNkok6YG0zD,Exp,Ctrl,1,BC,X1,379,3,9
R_1PRB2ZJPaDyYg5u,Exp,Ctrl,1,BC,X1,380,1,2
R_x8YEnmKnNoodq4p,Exp,Ctrl,1,BC,X1,385,1,1
R_1eCxEeBOx2YYlnG,Exp,Ctrl,1,BC,Y1,367,2,6
R_24vK9Ysod7NA3HT,Exp,Ctrl,1,BC,Y1,437,2,5
R_2Wu1IecDGOrW6TA,Exp,Ctrl,1,BC,Y1,363,3,3
R_u2ZAG9wWFqQUpqx,Exp,Ctrl,1,BC,Y1,368,3,6
R_22LaNVUxSxEtSEu,Exp,Ctrl,1,BC,Y1,368,2,9
R_245HR5qf4i26YuB,Exp,Ctrl,1,BC,Y1,540,2,4
R_3hn1MQpb4O4wlKC,Exp,Ctrl,1,BC,Y1,420,3,3
R_3dQSzkNCGWlgHBO,Exp,Ctrl,1,BC,Y1,368,2,1
R_10IubgweXpWotmV,Exp,Ctrl,1,BC,Y1,490,2,7
R_0UIpYxjoSUtn5aV,Exp,Ctrl,1,BC,Y1,497,1,9
R_2U5ZrsyHdj3qLbg,Exp,Ctrl,1,BC,Y1,366,1,8
R_2WO6qswPY1xZfmu,Exp,Ctrl,1,BC,Y1,366,2,2
R_1lzNMXJy2mOiXMg,Exp,Ctrl,1,BC,Y1,366,1,6
R_1kUNKdrtFIWsbQV,Exp,Ctrl,1,BC,Y1,366,2,5
R_uet7UtnWMSL9e93,Exp,Ctrl,1,BC,Y1,363,1,2
R_1LiKhFg1Ndfoemx,Exp,Ctrl,1,BC,Y1,366,3,9
R_Cmol1id0CtT1nvH,Exp,Ctrl,1,BC,Y1,367,1,3
R_PI124y0stIWTPEJ,Exp,Ctrl,1,BC,Y1,365,1,3
R_1IZ5GSHgwJWj0ek,Exp,Ctrl,1,BC,Y1,368,2,3
R_2zGYntlcXNo6Slz,Exp,Ctrl,1,BC,Y1,369,3,9
R_1eVIF7UtWqNpTNC,Exp,Ctrl,1,BC,Y1,418,1,8
R_ehNBFpp3mcRVJ2p,Exp,Ctrl,1,BC,Y1,367,2,7
R_UFPXG5SyTMSxzzP,Exp,Ctrl,1,BC,Y1,366,2,6
