Demo-ResponseID,QType,Condition,Dataset,Task,Response,DatasetOrder,TaskOrder,CorrectAnswer,RawDifference,AbsDifference,Percentage,LogError,ClustConf
R_2pQqNuyAcftDMeo,Exp,Ctrl,1,LargeClust1,33,3,7,60,-27,27,0.45,1.4471580313422192,NA
R_Q5IrI9t8qil4nmN,Exp,Ctrl,1,LargeClust1,92,1,4,60,32,32,0.5333333333333333,1.5185139398778875,NA
R_z6BS2dmBgIWvJNn,Exp,Ctrl,1,LargeClust1,98,2,2,60,38,38,0.6333333333333333,1.591064607026499,NA
R_1CI3aCGE5xKCFCj,Exp,Ctrl,1,LargeClust1,95,3,3,60,35,35,0.5833333333333334,1.5563025007672873,NA
R_2fwjQEliDHspYNx,Exp,Ctrl,1,LargeClust1,71,3,4,60,11,11,0.18333333333333332,1.0791812460476249,NA
R_x4scLYm0fIiArnj,Exp,Ctrl,1,LargeClust1,50,1,5,60,-10,10,0.16666666666666666,1.0413926851582251,NA
R_2YynfVWT2jq4LyT,Exp,Ctrl,1,LargeClust1,97,3,6,60,37,37,0.6166666666666667,1.5797835966168101,NA
R_2zNIzg2C6m2qsBI,Exp,Ctrl,1,LargeClust1,7,3,8,60,-53,53,0.8833333333333333,1.7323937598229686,NA
R_RnmRhX6Xw5EGdcB,Exp,Ctrl,1,LargeClust1,62,1,5,60,2,2,0.03333333333333333,0.47712125471966244,NA
R_UfOSvzbMxnRgwDL,Exp,Ctrl,1,LargeClust1,80,3,1,60,20,20,0.3333333333333333,1.3222192947339193,NA
R_2qr7KgyabK6sQ8w,Exp,Ctrl,1,LargeClust1,88,2,6,60,28,28,0.4666666666666667,1.462397997898956,NA
R_2b15UKnjwpnBStk,Exp,Ctrl,1,LargeClust1,78,2,5,60,18,18,0.3,1.2787536009528289,NA
R_p4wUuqXU6Gwvdsd,Exp,Ctrl,1,LargeClust1,79,2,3,60,19,19,0.31666666666666665,1.3010299956639813,NA
R_3P655E62t7ufi2T,Exp,Ctrl,1,LargeClust1,15,2,9,60,-45,45,0.75,1.662757831681574,NA
R_9BSXN7lOzq3H5kd,Exp,Ctrl,1,LargeClust1,54,1,8,60,-6,6,0.1,0.8450980400142568,NA
R_2E66vKkii2jLqm7,Exp,Ctrl,1,LargeClust1,94,2,7,60,34,34,0.5666666666666667,1.5440680443502757,NA
R_33wqVd2VWgIIZxm,Exp,Ctrl,1,LargeClust1,42,3,9,60,-18,18,0.3,1.2787536009528289,NA
R_1LtYLpObTUqguYp,Exp,Ctrl,1,LargeClust1,85,2,7,60,25,25,0.4166666666666667,1.414973347970818,NA
