NodeID,Condition,Dataset,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted
Cir_6_134.8_19.6,Cir,6,134.8,19.6,280.8333333333333,40.833333333333336
Cir_6_276.5_299.3,Cir,6,276.5,299.3,576.0416666666666,623.5416666666666
Cir_6_283.8_293,Cir,6,283.8,293,591.25,610.4166666666666
Cir_6_18.2_140.6,Cir,6,18.2,140.6,37.916666666666664,292.9166666666667
Cir_6_41.5_264,Cir,6,41.5,264,86.45833333333333,550
Cir_6_16.8_202.3,Cir,6,16.8,202.3,35,421.4583333333333
Cir_6_287.2_289.8,Cir,6,287.2,289.8,598.3333333333334,603.75
Cir_6_290.6_286.4,Cir,6,290.6,286.4,605.4166666666666,596.6666666666666
Cir_6_105.7_319.8,Cir,6,105.7,319.8,220.20833333333334,666.25
Cir_6_17.7_207,Cir,6,17.7,207,36.875,431.25
Cir_6_75.3_49.2,Cir,6,75.3,49.2,156.875,102.5
Cir_6_17.3_145.3,Cir,6,17.3,145.3,36.041666666666664,302.7083333333333
Cir_6_35.2_96.1,Cir,6,35.2,96.1,73.33333333333333,200.20833333333334
Cir_6_18.7_211.7,Cir,6,18.7,211.7,38.958333333333336,441.0416666666667
Cir_6_16.4_150,Cir,6,16.4,150,34.166666666666664,312.5
Cir_6_118.9_325.4,Cir,6,118.9,325.4,247.70833333333334,677.9166666666666
Cir_6_32.9_100.3,Cir,6,32.9,100.3,68.54166666666667,208.95833333333334
Cir_6_116.6_25.5,Cir,6,116.6,25.5,242.91666666666666,53.125
Cir_6_28.7_108.9,Cir,6,28.7,108.9,59.791666666666664,226.875
Cir_6_54.5_68.9,Cir,6,54.5,68.9,113.54166666666667,143.54166666666666
Cir_6_15.2_159.5,Cir,6,15.2,159.5,31.666666666666668,332.2916666666667
Cir_6_19.9_216.3,Cir,6,19.9,216.3,41.458333333333336,450.625
Cir_6_313.6_255.9,Cir,6,313.6,255.9,653.3333333333334,533.125
Cir_6_127.9_328.4,Cir,6,127.9,328.4,266.4583333333333,684.1666666666666
Cir_6_132.5_329.8,Cir,6,132.5,329.8,276.0416666666667,687.0833333333334
Cir_6_137.1_331,Cir,6,137.1,331,285.625,689.5833333333334
Cir_6_146.5_332.9,Cir,6,146.5,332.9,305.2083333333333,693.5416666666666
Cir_6_327.4_225.5,Cir,6,327.4,225.5,682.0833333333334,469.7916666666667
Cir_6_331.3_211.7,Cir,6,331.3,211.7,690.2083333333334,441.0416666666667
Cir_6_332.3_207,Cir,6,332.3,207,692.2916666666666,431.25
Cir_6_333.9_197.6,Cir,6,333.9,197.6,695.625,411.6666666666667
Cir_6_335_188.1,Cir,6,335,188.1,697.9166666666666,391.875
Cir_6_335.5_173.8,Cir,6,335.5,173.8,698.9583333333334,362.0833333333333
Cir_6_335.4_169,Cir,6,335.4,169,698.75,352.0833333333333
Cir_6_335.2_164.2,Cir,6,335.2,164.2,698.3333333333334,342.0833333333333
Cir_6_334.8_159.5,Cir,6,334.8,159.5,697.5,332.2916666666667
Cir_6_160.7_334.9,Cir,6,160.7,334.9,334.7916666666667,697.7083333333334
Cir_6_331.8_140.6,Cir,6,331.8,140.6,691.25,292.9166666666667
Cir_6_170.2_335.4,Cir,6,170.2,335.4,354.5833333333333,698.75
Cir_6_329.5_131.3,Cir,6,329.5,131.3,686.4583333333334,273.5416666666667
Cir_6_326.6_122.2,Cir,6,326.6,122.2,680.4166666666666,254.58333333333334
Cir_6_189.3_334.9,Cir,6,189.3,334.9,394.375,697.7083333333334
Cir_6_194.1_334.4,Cir,6,194.1,334.4,404.375,696.6666666666666
Cir_6_314.8_96.1,Cir,6,314.8,96.1,655.8333333333334,200.20833333333334
Cir_6_312.4_92,Cir,6,312.4,92,650.8333333333334,191.66666666666666
Cir_6_309.9_87.9,Cir,6,309.9,87.9,645.625,183.125
Cir_6_307.2_84,Cir,6,307.2,84,640,175
Cir_6_288.9_61.9,Cir,6,288.9,61.9,601.875,128.95833333333334
Cir_6_285.5_58.6,Cir,6,285.5,58.6,594.7916666666666,122.08333333333333
Cir_6_270.9_46.3,Cir,6,270.9,46.3,564.375,96.45833333333333
Cir_6_263.1_40.8,Cir,6,263.1,40.8,548.125,85
Cir_6_212.9_331,Cir,6,212.9,331,443.5416666666667,689.5833333333334
Cir_6_254.9_35.8,Cir,6,254.9,35.8,531.0416666666666,74.58333333333333
Cir_6_233.4_25.5,Cir,6,233.4,25.5,486.25,53.125
Cir_6_201.2_16.6,Cir,6,201.2,16.6,419.1666666666667,34.583333333333336
Cir_6_196.4_15.9,Cir,6,196.4,15.9,409.1666666666667,33.125
Cir_6_182.2_14.6,Cir,6,182.2,14.6,379.5833333333333,30.416666666666668
Cir_7_17.6_141.5,Cir,7,17.6,141.5,36.666666666666664,294.7916666666667
Cir_7_16.8_145.2,Cir,7,16.8,145.2,35,302.5
Cir_7_16.2_148.9,Cir,7,16.2,148.9,33.75,310.2083333333333
Cir_7_81.9_306.3,Cir,7,81.9,306.3,170.625,638.125
Cir_7_15.6_152.6,Cir,7,15.6,152.6,32.5,317.9166666666667
Cir_7_161.9_335.4,Cir,7,161.9,335.4,337.2916666666667,698.75
Cir_7_165.6_335.7,Cir,7,165.6,335.7,345,699.375
Cir_7_16.2_201.1,Cir,7,16.2,201.1,33.75,418.9583333333333
Cir_7_169.4_335.8,Cir,7,169.4,335.8,352.9166666666667,699.5833333333334
Cir_7_258.7_312.5,Cir,7,258.7,312.5,538.9583333333334,651.0416666666666
Cir_7_261.9_310.5,Cir,7,261.9,310.5,545.625,646.875
Cir_7_173.1_335.9,Cir,7,173.1,335.9,360.625,699.7916666666666
Cir_7_85_308.4,Cir,7,85,308.4,177.08333333333334,642.5
Cir_7_88.1_310.5,Cir,7,88.1,310.5,183.54166666666666,646.875
Cir_7_180.6_335.8,Cir,7,180.6,335.8,376.25,699.5833333333334
Cir_7_16.8_204.8,Cir,7,16.8,204.8,35,426.6666666666667
Cir_7_265_308.4,Cir,7,265,308.4,552.0833333333334,642.5
Cir_7_268.1_306.3,Cir,7,268.1,306.3,558.5416666666666,638.125
Cir_7_31.2_247.2,Cir,7,31.2,247.2,65,515
Cir_7_32.9_250.6,Cir,7,32.9,250.6,68.54166666666667,522.0833333333334
Cir_7_14.8_160,Cir,7,14.8,160,30.833333333333332,333.3333333333333
Cir_7_14.5_163.8,Cir,7,14.5,163.8,30.208333333333332,341.25
Cir_7_85_41.6,Cir,7,85,41.6,177.08333333333334,86.66666666666667
Cir_7_14.2_167.5,Cir,7,14.2,167.5,29.583333333333332,348.9583333333333
Cir_7_14.1_171.3,Cir,7,14.1,171.3,29.375,356.875
Cir_7_14.1_175,Cir,7,14.1,175,29.375,364.5833333333333
Cir_7_81.9_43.7,Cir,7,81.9,43.7,170.625,91.04166666666667
Cir_7_274.1_301.8,Cir,7,274.1,301.8,571.0416666666666,628.75
Cir_7_14.1_178.7,Cir,7,14.1,178.7,29.375,372.2916666666667
Cir_7_78.9_45.9,Cir,7,78.9,45.9,164.375,95.625
Cir_7_277_299.5,Cir,7,277,299.5,577.0833333333334,623.9583333333334
Cir_7_14.2_182.5,Cir,7,14.2,182.5,29.583333333333332,380.2083333333333
Cir_7_75.9_48.2,Cir,7,75.9,48.2,158.125,100.41666666666667
Cir_7_73_50.5,Cir,7,73,50.5,152.08333333333334,105.20833333333333
Cir_7_324.9_233.5,Cir,7,324.9,233.5,676.875,486.4583333333333
Cir_7_91.3_312.5,Cir,7,91.3,312.5,190.20833333333334,651.0416666666666
Cir_7_94.5_314.4,Cir,7,94.5,314.4,196.875,655
Cir_7_173.1_14.1,Cir,7,173.1,14.1,360.625,29.375
Cir_7_70.1_52.9,Cir,7,70.1,52.9,146.04166666666666,110.20833333333333
Cir_7_14.8_190,Cir,7,14.8,190,30.833333333333332,395.8333333333333
