Condition,Dataset,MaxValue,NodeID,NodeXOriginal,NodeYOriginal,NodeXAdjusted,NodeYAdjusted,NodeValue,Task,NodeRank,correct
Ctrl,5,51,Ctrl_5_135.6_142.9,135.6,142.9,282.5,297.7083333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_99_304.2,99,304.2,206.25,633.75,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_199.5_56.5,199.5,56.5,415.625,117.70833333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_193.4_119.5,193.4,119.5,402.9166666666667,248.95833333333334,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_199.7_190.7,199.7,190.7,416.0416666666667,397.2916666666667,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_241.7_145.5,241.7,145.5,503.5416666666667,303.125,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_211.8_175.9,211.8,175.9,441.25,366.4583333333333,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_218.9_171.5,218.9,171.5,456.0416666666667,357.2916666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_185.8_154.6,185.8,154.6,387.0833333333333,322.0833333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_86.1_255,86.1,255,179.375,531.25,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_158.3_190.9,158.3,190.9,329.7916666666667,397.7083333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_216.3_182.9,216.3,182.9,450.625,381.0416666666667,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_138.2_261.1,138.2,261.1,287.9166666666667,543.9583333333334,3,ClickHighDeg,10,FALSE
Ctrl,5,51,Ctrl_5_204.1_184.3,204.1,184.3,425.2083333333333,383.9583333333333,2,ClickHighDeg,11,FALSE
Ctrl,5,51,Ctrl_5_185.3_184.7,185.3,184.7,386.0416666666667,384.7916666666667,3,ClickHighDeg,10,FALSE
